iter	Passed	Remaining
0	27	41569
1	52	39278
2	79	39854
3	105	39545
4	131	39251
5	157	39132
6	185	39509
7	210	39336
8	237	39428
9	264	39387
10	291	39451
11	319	39558
12	346	39665
13	373	39667
14	400	39645
15	427	39637
16	455	39775
17	480	39575
18	507	39534
19	535	39636
20	565	39804
21	591	39711
22	617	39634
23	643	39574
24	669	39472
25	695	39420
26	722	39438
27	749	39405
28	776	39405
29	804	39430
30	833	39479
31	858	39389
32	883	39281
33	908	39168
34	937	39226
35	963	39188
36	991	39192
37	1019	39232
38	1046	39214
39	1072	39154
40	1098	39099
41	1124	39048
42	1151	39028
43	1181	39095
44	1207	39043
45	1234	39007
46	1261	38992
47	1286	38921
48	1313	38907
49	1341	38899
50	1367	38841
51	1391	38761
52	1416	38670
53	1443	38643
54	1470	38639
55	1493	38515
56	1519	38474
57	1546	38447
58	1573	38429
59	1599	38381
60	1624	38326
61	1650	38288
62	1673	38179
63	1699	38123
64	1724	38076
65	1750	38027
66	1777	38017
67	1801	37930
68	1826	37887
69	1851	37817
70	1877	37795
71	1906	37803
72	1927	37684
73	1954	37656
74	1977	37574
75	2000	37475
76	2026	37444
77	2047	37326
78	2078	37390
79	2104	37351
80	2130	37330
81	2157	37315
82	2182	37258
83	2207	37215
84	2229	37120
85	2254	37064
86	2280	37044
87	2306	37012
88	2329	36933
89	2356	36917
90	2386	36948
91	2409	36874
92	2434	36837
93	2456	36736
94	2481	36702
95	2509	36699
96	2532	36633
97	2556	36575
98	2583	36557
99	2610	36540
100	2634	36486
101	2657	36418
102	2681	36368
103	2707	36343
104	2729	36269
105	2754	36220
106	2780	36203
107	2808	36197
108	2834	36167
109	2860	36149
110	2886	36118
111	2916	36142
112	2941	36099
113	2963	36028
114	2990	36010
115	3021	36054
116	3046	36006
117	3068	35940
118	3093	35896
119	3117	35853
120	3145	35843
121	3168	35785
122	3194	35766
123	3218	35714
124	3242	35669
125	3266	35617
126	3290	35570
127	3314	35527
128	3337	35467
129	3362	35432
130	3386	35392
131	3409	35335
132	3437	35328
133	3462	35292
134	3484	35236
135	3507	35174
136	3535	35177
137	3562	35158
138	3589	35141
139	3613	35103
140	3643	35120
141	3666	35065
142	3692	35036
143	3717	35006
144	3742	34976
145	3769	34954
146	3794	34923
147	3818	34879
148	3838	34807
149	3865	34789
150	3889	34744
151	3911	34690
152	3936	34660
153	3964	34649
154	3991	34636
155	4019	34627
156	4044	34599
157	4070	34569
158	4095	34545
159	4123	34534
160	4148	34499
161	4173	34470
162	4199	34446
163	4223	34406
164	4248	34375
165	4277	34375
166	4301	34335
167	4329	34325
168	4358	34326
169	4384	34301
170	4405	34239
171	4430	34203
172	4451	34143
173	4476	34117
174	4506	34117
175	4533	34104
176	4554	34044
177	4581	34029
178	4607	34005
179	4631	33965
180	4654	33919
181	4677	33873
182	4701	33834
183	4726	33804
184	4752	33784
185	4778	33755
186	4805	33740
187	4832	33722
188	4859	33704
189	4884	33673
190	4914	33681
191	4939	33647
192	4964	33619
193	4992	33609
194	5021	33607
195	5044	33564
196	5070	33539
197	5094	33502
198	5122	33488
199	5145	33448
200	5171	33420
201	5197	33394
202	5220	33353
203	5245	33326
204	5273	33310
205	5300	33296
206	5326	33274
207	5352	33245
208	5375	33207
209	5400	33176
210	5428	33163
211	5452	33126
212	5473	33073
213	5499	33050
214	5522	33003
215	5543	32955
216	5569	32928
217	5593	32892
218	5618	32866
219	5642	32828
220	5665	32789
221	5690	32756
222	5716	32735
223	5740	32700
224	5765	32668
225	5789	32637
226	5815	32614
227	5843	32602
228	5868	32570
229	5892	32539
230	5914	32493
231	5941	32475
232	5964	32433
233	5993	32424
234	6015	32381
235	6038	32342
236	6063	32315
237	6086	32274
238	6113	32254
239	6137	32220
240	6164	32203
241	6191	32187
242	6213	32143
243	6240	32123
244	6264	32087
245	6288	32055
246	6318	32054
247	6344	32030
248	6372	32018
249	6398	31990
250	6423	31963
251	6448	31937
252	6476	31922
253	6502	31900
254	6527	31869
255	6554	31848
256	6576	31808
257	6600	31775
258	6628	31759
259	6655	31741
260	6681	31716
261	6708	31699
262	6734	31676
263	6761	31656
264	6787	31631
265	6810	31596
266	6831	31546
267	6853	31504
268	6873	31454
269	6899	31430
270	6925	31408
271	6946	31360
272	6972	31340
273	7002	31331
274	7024	31292
275	7050	31265
276	7074	31234
277	7100	31210
278	7126	31188
279	7153	31168
280	7178	31139
281	7203	31113
282	7231	31096
283	7254	31063
284	7277	31026
285	7300	30988
286	7324	30958
287	7349	30930
288	7376	30911
289	7402	30885
290	7424	30845
291	7449	30818
292	7471	30778
293	7499	30763
294	7524	30734
295	7549	30709
296	7573	30675
297	7599	30651
298	7624	30626
299	7650	30603
300	7675	30575
301	7701	30549
302	7721	30504
303	7753	30502
304	7781	30487
305	7807	30464
306	7830	30428
307	7855	30401
308	7879	30368
309	7904	30341
310	7927	30306
311	7952	30281
312	7978	30258
313	8004	30233
314	8030	30208
315	8057	30190
316	8081	30157
317	8106	30130
318	8129	30095
319	8153	30065
320	8174	30024
321	8204	30015
322	8227	29980
323	8250	29947
324	8278	29929
325	8303	29904
326	8330	29881
327	8353	29848
328	8381	29831
329	8403	29793
330	8428	29767
331	8454	29742
332	8482	29727
333	8504	29690
334	8527	29656
335	8551	29625
336	8577	29602
337	8605	29585
338	8629	29555
339	8656	29532
340	8681	29507
341	8705	29475
342	8727	29438
343	8748	29400
344	8772	29367
345	8794	29330
346	8816	29294
347	8839	29262
348	8866	29240
349	8889	29209
350	8917	29189
351	8944	29170
