iter	Logloss
0	0.6813496972
1	0.6706422629
2	0.6611198769
3	0.6525114918
4	0.6426042793
5	0.6346182621
6	0.6269267808
7	0.6189289592
8	0.6122040408
9	0.6055167716
10	0.5998857878
11	0.5938676919
12	0.5885281552
13	0.583366071
14	0.5782140501
15	0.5731492315
16	0.5684196793
17	0.5638965518
18	0.5595619606
19	0.5552261014
20	0.5515923042
21	0.5481539676
22	0.5449405554
23	0.5418801872
24	0.5387590077
25	0.5361540861
26	0.5334838089
27	0.5305936824
28	0.5283076547
29	0.5258820078
30	0.5238137874
31	0.5216331476
32	0.5191446252
33	0.5170559883
34	0.5149935135
35	0.5133055303
36	0.51152962
37	0.5096217081
38	0.5079261812
39	0.506508133
40	0.5051452703
41	0.5036643448
42	0.5020735465
43	0.5005220558
44	0.4992162522
45	0.4978807743
46	0.4964801928
47	0.4954362024
48	0.494122357
49	0.4929700246
50	0.491846915
51	0.4906198986
52	0.4894719726
53	0.4884347805
54	0.4873046211
55	0.4863573884
56	0.4855909344
57	0.4845517872
58	0.4837051812
59	0.4828121023
60	0.4817305215
61	0.4806958522
62	0.4797908874
63	0.4790778337
64	0.4781858038
65	0.477433835
66	0.4765350115
67	0.4759810353
68	0.4753018074
69	0.4745228621
70	0.4737876872
71	0.4730070582
72	0.4724748393
73	0.4720682125
74	0.4715380154
75	0.4708683178
76	0.4701611677
77	0.4696089135
78	0.4689830908
79	0.4684050478
80	0.4678420922
81	0.4672638761
82	0.466793114
83	0.4662587439
84	0.465797336
85	0.4652933708
86	0.4648533572
87	0.4643452311
88	0.4638112267
89	0.4633824373
90	0.4628101991
91	0.4622661429
92	0.4618532261
93	0.4615012793
94	0.4611554663
95	0.4606448148
96	0.4601498916
97	0.4597675369
98	0.4592854343
99	0.4589110267
100	0.4585020745
101	0.4582138718
102	0.4578876277
103	0.4575092199
104	0.4571571024
105	0.4568125553
106	0.4564670849
107	0.4560439779
108	0.4556546289
109	0.4552948003
110	0.4549930975
111	0.4546599995
112	0.4543157194
113	0.4539328864
114	0.4535425329
115	0.4532417116
116	0.4528902977
117	0.4525605277
118	0.4521677051
119	0.4519375112
120	0.4515031545
121	0.4512692825
122	0.4509184688
123	0.4506295564
124	0.4503208373
125	0.450043222
126	0.449760575
127	0.4495529293
128	0.4492226469
129	0.4489620085
130	0.4486504459
131	0.4483230844
132	0.4479718633
133	0.4477173868
134	0.4475464202
135	0.4473481378
136	0.4470221417
137	0.4468296917
138	0.4465219962
139	0.4462959477
140	0.4459400518
141	0.4457328126
142	0.4454614985
143	0.445150295
144	0.4449099591
145	0.4446933499
146	0.4444069476
147	0.4441934307
148	0.443999349
149	0.4437730377
150	0.4435050476
151	0.443295514
152	0.4430867744
153	0.4428080401
154	0.4424741532
155	0.4421907186
156	0.4419552211
157	0.4417329223
158	0.4414755659
159	0.4411658953
160	0.4408715393
161	0.4406348794
162	0.4403317506
163	0.4401214239
164	0.4399933421
165	0.4397293429
166	0.4395536349
167	0.4392757905
168	0.4390168707
169	0.4388569969
170	0.438721324
171	0.4385319109
172	0.4383503952
173	0.438166767
174	0.4379467825
175	0.4376964753
176	0.4375576547
177	0.4373636132
178	0.4372395006
179	0.4369848419
180	0.4367752218
181	0.4366324912
182	0.4364363781
183	0.4362408489
184	0.4360024158
185	0.4358493581
