iter	Passed	Remaining
0	24	36120
1	47	35341
2	73	36793
3	95	35761
4	119	35760
5	143	35815
6	170	36402
7	196	36554
8	221	36681
9	244	36428
10	272	36856
11	297	36925
12	321	36718
13	347	36912
14	375	37157
15	400	37124
16	425	37128
17	452	37228
18	476	37179
19	503	37270
20	527	37177
21	551	37072
22	579	37216
23	607	37350
24	634	37417
25	659	37374
26	687	37483
27	711	37409
28	738	37472
29	764	37453
30	790	37464
31	819	37611
32	843	37499
33	868	37434
34	897	37570
35	922	37529
36	946	37434
37	972	37413
38	1000	37482
39	1026	37484
40	1051	37432
41	1079	37477
42	1105	37446
43	1131	37450
44	1157	37419
45	1182	37374
46	1208	37356
47	1235	37375
48	1261	37356
49	1285	37282
50	1311	37263
51	1339	37288
52	1363	37217
53	1389	37202
54	1413	37142
55	1440	37141
56	1466	37125
57	1492	37097
58	1518	37082
59	1542	37012
60	1567	36979
61	1592	36934
62	1621	36981
63	1645	36913
64	1672	36927
65	1698	36902
66	1725	36898
67	1747	36797
68	1771	36743
69	1794	36659
70	1821	36657
71	1846	36620
72	1870	36561
73	1894	36509
74	1918	36451
75	1942	36387
76	1966	36348
77	1990	36282
78	2013	36221
79	2037	36173
80	2061	36107
81	2085	36069
82	2110	36028
83	2137	36027
84	2159	35954
85	2183	35903
86	2205	35827
87	2233	35841
88	2258	35799
89	2282	35766
90	2307	35722
91	2333	35715
92	2356	35651
93	2378	35573
94	2400	35498
95	2424	35457
96	2452	35467
97	2479	35471
98	2505	35460
99	2529	35406
100	2552	35356
101	2576	35315
102	2599	35261
103	2626	35252
104	2657	35304
105	2678	35231
106	2703	35192
107	2728	35164
108	2754	35155
109	2777	35096
110	2805	35107
111	2828	35047
112	2851	34997
113	2878	35001
114	2904	34975
115	2925	34909
116	2947	34845
117	2971	34806
118	2997	34789
119	3026	34807
120	3050	34768
121	3077	34765
122	3102	34729
123	3125	34681
124	3149	34648
125	3176	34634
126	3201	34615
127	3229	34616
128	3254	34589
129	3279	34566
130	3305	34546
131	3330	34512
132	3355	34492
133	3380	34458
134	3403	34408
135	3427	34375
136	3452	34344
137	3474	34296
138	3500	34271
139	3525	34252
140	3550	34217
141	3577	34214
142	3600	34168
143	3626	34151
144	3652	34130
145	3676	34098
146	3702	34075
147	3722	34006
148	3746	33974
149	3769	33926
150	3792	33877
151	3819	33870
152	3845	33853
153	3870	33832
154	3897	33824
155	3925	33819
156	3948	33773
157	3973	33751
158	3996	33707
159	4023	33695
160	4048	33672
161	4075	33657
162	4101	33641
163	4126	33613
164	4145	33543
165	4170	33511
166	4192	33464
167	4219	33450
168	4241	33401
169	4266	33380
170	4291	33354
171	4315	33319
172	4339	33287
173	4361	33235
174	4387	33216
175	4413	33205
176	4436	33163
177	4462	33139
178	4486	33106
179	4510	33076
180	4538	33074
181	4563	33046
182	4586	33005
183	4610	32972
184	4632	32930
185	4655	32886
186	4678	32851
187	4701	32811
188	4723	32763
189	4750	32755
190	4771	32703
191	4795	32670
192	4822	32656
193	4845	32617
194	4871	32598
195	4899	32596
196	4921	32551
197	4944	32514
198	4971	32501
199	4994	32465
200	5020	32446
201	5044	32414
202	5072	32411
203	5100	32400
204	5123	32365
205	5148	32338
206	5175	32325
207	5200	32304
208	5226	32282
209	5253	32268
210	5278	32248
211	5301	32208
212	5322	32161
213	5343	32111
214	5365	32071
215	5388	32032
216	5414	32013
217	5438	31979
218	5462	31953
219	5488	31932
220	5516	31923
221	5538	31881
222	5561	31849
223	5590	31844
224	5615	31818
225	5644	31817
226	5669	31794
227	5693	31763
228	5715	31720
229	5735	31672
230	5758	31634
231	5786	31626
232	5813	31611
233	5838	31590
234	5864	31567
235	5887	31531
236	5913	31511
237	5934	31469
238	5958	31439
239	5984	31416
240	6007	31381
241	6032	31358
242	6056	31329
243	6078	31290
244	6105	31273
245	6127	31236
246	6153	31213
247	6175	31174
248	6199	31146
249	6224	31122
250	6246	31084
251	6274	31071
252	6297	31037
253	6319	31001
254	6342	30964
255	6364	30927
256	6386	30889
257	6411	30863
258	6438	30852
259	6458	30803
260	6487	30797
261	6510	30762
262	6538	30753
263	6561	30721
264	6587	30701
265	6612	30675
266	6637	30653
267	6660	30619
268	6684	30588
269	6705	30545
270	6728	30514
271	6754	30493
272	6782	30482
273	6809	30468
274	6829	30423
275	6849	30378
276	6876	30361
277	6900	30331
278	6924	30303
279	6951	30289
280	6978	30273
281	7001	30240
282	7025	30210
283	7055	30209
284	7077	30170
285	7102	30148
286	7124	30111
287	7151	30097
288	7174	30063
289	7201	30045
290	7229	30034
291	7251	29999
292	7278	29981
293	7301	29951
294	7327	29932
295	7350	29898
296	7374	29868
297	7396	29835
298	7419	29800
299	7443	29772
300	7468	29748
301	7493	29724
302	7515	29691
303	7538	29658
304	7563	29632
305	7584	29593
306	7613	29585
307	7637	29556
308	7660	29525
309	7684	29498
310	7710	29476
311	7734	29451
312	7756	29416
313	7782	29394
314	7806	29365
315	7829	29336
316	7852	29304
317	7877	29280
318	7899	29247
319	7927	29233
320	7983	29321
321	8003	29278
322	8023	29236
323	8044	29199
324	8066	29163
325	8087	29125
326	8112	29101
327	8133	29062
328	8155	29029
329	8177	28993
330	8201	28966
331	8223	28932
332	8246	28898
333	8268	28866
334	8290	28829
335	8315	28805
336	8339	28779
337	8360	28742
338	8383	28711
339	8406	28682
340	8434	28666
341	8456	28631
342	8479	28602
343	8501	28569
344	8524	28538
345	8546	28504
346	8571	28479
347	8593	28447
348	8616	28416
349	8640	28388
350	8661	28353
