iter	Passed	Remaining
0	24	36768
1	47	35770
2	71	35776
3	100	37479
4	122	36762
5	149	37185
6	172	36872
7	199	37203
8	222	36854
9	246	36657
10	272	36898
11	298	37059
12	323	37013
13	350	37166
14	375	37151
15	401	37280
16	426	37179
17	453	37306
18	476	37180
19	501	37127
20	523	36900
21	549	36896
22	573	36797
23	599	36856
24	624	36819
25	648	36761
26	675	36850
27	700	36819
28	725	36814
29	750	36754
30	775	36748
31	802	36816
32	831	36956
33	871	37569
34	905	37889
35	940	38232
36	968	38310
37	996	38335
38	1022	38291
39	1049	38324
40	1083	38548
41	1112	38625
42	1136	38502
43	1159	38365
44	1183	38267
45	1210	38270
46	1239	38317
47	1265	38295
48	1290	38212
49	1315	38154
50	1344	38187
51	1372	38220
52	1398	38175
53	1424	38140
54	1447	38020
55	1477	38107
56	1522	38531
57	1547	38483
58	1573	38441
59	1598	38356
60	1626	38358
61	1653	38348
62	1675	38219
63	1697	38077
64	1723	38059
65	1749	38005
66	1778	38041
67	1812	38170
68	1843	38242
69	1867	38140
70	1887	37987
71	1910	37899
72	1932	37769
73	1955	37678
74	1980	37622
75	2003	37546
76	2033	37573
77	2058	37523
78	2080	37414
79	2103	37339
80	2124	37220
81	2146	37122
82	2170	37049
83	2194	36985
84	2215	36873
85	2237	36795
86	2263	36766
87	2288	36715
88	2310	36623
89	2333	36559
90	2359	36527
91	2380	36428
92	2406	36402
93	2430	36355
94	2453	36284
95	2475	36199
96	2499	36148
97	2523	36103
98	2546	36035
99	2568	35953
100	2590	35886
101	2615	35846
102	2640	35808
103	2662	35742
104	2688	35713
105	2713	35691
106	2739	35663
107	2761	35597
108	2787	35566
109	2808	35490
110	2835	35484
111	2858	35428
112	2883	35396
113	2906	35342
114	2931	35301
115	2952	35225
116	2975	35176
117	3001	35148
118	3026	35119
119	3054	35127
120	3079	35092
121	3109	35116
122	3130	35043
123	3151	34969
124	3172	34901
125	3198	34884
126	3224	34860
127	3246	34801
128	3271	34767
129	3296	34738
130	3318	34678
131	3348	34700
132	3370	34647
133	3395	34611
134	3422	34607
135	3447	34581
136	3471	34540
137	3498	34528
138	3521	34478
139	3541	34402
140	3566	34377
141	3590	34339
142	3616	34319
143	3638	34266
144	3663	34238
145	3685	34176
146	3714	34186
147	3734	34111
148	3757	34067
149	3781	34030
150	3807	34014
151	3833	33996
152	3860	33988
153	3885	33961
154	3912	33950
155	3939	33939
156	3967	33940
157	3990	33889
158	4015	33869
159	4039	33828
160	4065	33807
161	4085	33746
162	4116	33762
163	4138	33715
164	4166	33711
165	4191	33684
166	4216	33652
167	4241	33632
168	4267	33607
169	4288	33554
170	4315	33542
171	4340	33512
172	4363	33469
173	4388	33442
174	4411	33401
175	4433	33355
176	4452	33283
177	4476	33243
178	4500	33216
179	4527	33202
180	4551	33171
181	4576	33141
182	4601	33118
183	4627	33100
184	4651	33064
185	4676	33035
186	4699	32998
187	4725	32980
188	4750	32949
189	4771	32900
190	4792	32844
191	4818	32828
192	4843	32798
193	4867	32769
194	4890	32728
195	4914	32693
196	4936	32650
197	4960	32618
198	4985	32591
199	5008	32552
200	5031	32518
201	5054	32477
202	5079	32450
203	5105	32436
204	5132	32419
205	5154	32377
206	5176	32336
207	5200	32305
208	5226	32282
209	5251	32260
210	5274	32222
211	5300	32202
212	5322	32161
213	5349	32148
214	5373	32113
215	5396	32081
216	5420	32050
217	5445	32022
218	5466	31974
219	5488	31934
220	5512	31900
221	5535	31866
222	5559	31836
223	5586	31823
224	5609	31786
225	5632	31752
226	5656	31723
227	5683	31709
228	5706	31673
229	5728	31630
230	5752	31603
231	5778	31583
232	5801	31546
233	5825	31515
234	5853	31509
