iter	Logloss
0	0.6773938647
1	0.6634978256
2	0.6501762015
3	0.6382457363
4	0.6272951734
5	0.6172910363
6	0.6073101534
7	0.5984763559
8	0.5899405993
9	0.5824484017
10	0.5756563248
11	0.5697862881
12	0.5640122129
13	0.5586475768
14	0.5534794049
15	0.5494148959
16	0.5450680933
17	0.54110655
18	0.5375322558
19	0.5339099476
20	0.5304424649
21	0.5277149583
22	0.5250106922
23	0.5221374795
24	0.5195934913
25	0.5171564975
26	0.5144718202
27	0.5121316912
28	0.5102296543
29	0.5082436036
30	0.5065712694
31	0.504872081
32	0.5034832815
33	0.5020643204
34	0.5004368068
35	0.4991044137
36	0.4977498848
37	0.496470023
38	0.4953866192
39	0.4942564879
40	0.4932088279
41	0.4920895898
42	0.4909350016
43	0.4899842118
44	0.4888253195
45	0.4878762126
46	0.4870501923
47	0.486112214
48	0.4851300847
49	0.4844052255
50	0.4834749558
51	0.4829019633
52	0.4821919189
53	0.4815249923
54	0.4807833031
55	0.4801635651
56	0.4794843887
57	0.4788870738
58	0.4783398491
59	0.4777585297
60	0.4772268324
61	0.4767272458
62	0.4761335528
63	0.4756251584
64	0.4750490877
65	0.4747418399
66	0.4742969687
67	0.4738286609
68	0.4733431912
69	0.4728724161
70	0.4724928022
71	0.4720124999
72	0.4715259512
73	0.4710328375
74	0.4706440563
75	0.4702433491
76	0.469931673
77	0.469497934
78	0.4691791968
79	0.4688098989
80	0.4685537413
81	0.4682583482
82	0.4678500845
83	0.4675559148
84	0.467162364
85	0.4667469301
86	0.4664618651
87	0.4661392747
88	0.46582322
89	0.4655583369
90	0.4652880381
91	0.4651429753
92	0.4648333697
93	0.4645974495
94	0.4642857025
95	0.4640219747
96	0.4637045805
97	0.4633968098
98	0.4631443687
99	0.4628345798
100	0.4626438789
101	0.4623271304
102	0.4620100075
103	0.4617429785
104	0.461523312
105	0.4612346461
106	0.460875967
107	0.4606161801
108	0.4603737214
109	0.4600951336
110	0.4599169973
111	0.4595727054
112	0.4593736251
113	0.459217738
114	0.4591179428
115	0.4589258197
116	0.4586653794
117	0.4584450832
118	0.4582090302
119	0.458050146
120	0.4579120921
121	0.4576672061
122	0.457326401
123	0.4571477496
124	0.4569154681
125	0.4567309758
126	0.4565821995
127	0.4564122919
128	0.4562543825
129	0.4559927582
130	0.4558947792
131	0.4557169529
132	0.4555102566
133	0.4552719148
134	0.4551205399
135	0.4549909067
136	0.4547728592
137	0.4546242077
138	0.4544867542
139	0.4544503568
140	0.454321315
141	0.4541704136
142	0.4540300208
143	0.453901328
144	0.4537782474
145	0.4537472676
146	0.4536039505
147	0.4534592553
148	0.453256953
149	0.4530286952
150	0.4528187907
151	0.4527078229
152	0.4525309519
153	0.4523057627
154	0.4521503675
155	0.4520198838
156	0.451850447
157	0.4516540463
158	0.4515397406
159	0.4512859806
160	0.4511811554
161	0.4511017349
162	0.4510902549
163	0.4509399563
164	0.4507532689
165	0.4506407445
166	0.4504799855
167	0.450353585
168	0.4502448152
169	0.4500385319
170	0.4499070473
171	0.4497467315
172	0.449555694
173	0.4494347805
174	0.4492612812
175	0.4491364277
176	0.4489553643
177	0.4488573634
178	0.4487955046
179	0.4487026507
180	0.4485772729
181	0.4483441831
182	0.4481454322
183	0.4480870841
184	0.4479944229
185	0.447847403
186	0.4477844279
187	0.4475047308
188	0.4474323885
189	0.4473697349
190	0.4472512923
191	0.4470910754
192	0.4470174655
193	0.4468196709
194	0.4467105168
195	0.446540178
196	0.4463431176
197	0.4462275802
198	0.4461508482
199	0.4459818021
200	0.4459134487
201	0.445828536
