iter	Passed	Remaining
0	51	77150
1	78	58717
2	101	50451
3	121	45454
4	143	43049
5	166	41558
6	190	40712
7	215	40104
8	238	39525
9	262	39045
10	287	38973
11	311	38610
12	335	38402
13	363	38541
14	391	38745
15	416	38658
16	444	38760
17	469	38677
18	497	38767
19	521	38627
20	546	38493
21	570	38307
22	594	38194
23	617	37975
24	641	37871
25	667	37830
26	693	37810
27	718	37768
28	743	37706
29	768	37678
30	793	37600
31	820	37650
32	846	37628
33	870	37546
34	895	37490
35	921	37488
36	948	37497
37	972	37419
38	999	37448
39	1024	37391
40	1049	37352
41	1074	37296
42	1097	37203
43	1122	37129
44	1147	37086
45	1170	36988
46	1194	36930
47	1223	36996
48	1248	36963
49	1273	36932
50	1298	36881
51	1324	36878
52	1351	36896
53	1376	36867
54	1402	36840
55	1427	36808
56	1453	36783
57	1474	36648
58	1496	36555
59	1526	36633
60	1548	36521
61	1570	36418
62	1594	36364
63	1618	36318
64	1643	36276
65	1665	36197
66	1692	36190
67	1717	36159
68	1740	36095
69	1765	36063
70	1789	36013
71	1808	35870
72	1836	35905
73	1857	35800
74	1879	35708
75	1901	35628
76	1924	35564
77	1946	35492
78	1971	35470
79	1993	35386
80	2017	35344
81	2042	35312
82	2067	35295
83	2092	35270
84	2116	35240
85	2141	35205
86	2163	35143
87	2186	35077
88	2207	35001
89	2230	34947
90	2251	34865
91	2274	34813
92	2295	34731
93	2320	34708
94	2343	34651
95	2366	34617
96	2392	34608
97	2415	34555
98	2438	34509
99	2460	34450
100	2483	34399
101	2507	34367
102	2529	34302
103	2551	34245
104	2575	34213
105	2599	34181
106	2622	34135
107	2645	34094
108	2669	34069
109	2694	34050
110	2717	34004
111	2741	33979
112	2767	33968
113	2792	33947
114	2815	33911
115	2840	33887
116	2869	33917
117	2934	34373
118	2957	34320
119	2977	34236
120	2996	34150
121	3018	34093
122	3042	34062
123	3065	34017
124	3088	33975
125	3111	33928
126	3136	33912
127	3158	33856
128	3185	33859
129	3208	33811
130	3232	33785
131	3255	33743
132	3283	33744
133	3307	33713
134	3330	33673
135	3353	33635
136	3378	33615
137	3405	33609
138	3426	33554
139	3452	33536
140	3476	33505
141	3498	33454
142	3520	33405
143	3544	33379
144	3566	33329
145	3589	33289
146	3615	33275
147	3637	33228
148	3660	33194
149	3684	33160
150	3706	33116
151	3729	33078
152	3753	33046
153	3776	33008
154	3801	32983
155	3826	32963
156	3850	32940
157	3873	32904
158	3896	32859
159	3921	32840
160	3946	32826
161	3969	32781
162	3993	32759
163	4018	32736
164	4042	32710
165	4065	32670
166	4088	32630
167	4109	32581
168	4137	32585
169	4161	32559
170	4183	32514
171	4207	32485
172	4232	32468
173	4256	32438
174	4279	32399
175	4304	32382
176	4328	32356
177	4354	32339
178	4374	32282
179	4396	32243
180	4421	32223
181	4444	32189
182	4465	32139
183	4491	32120
184	4514	32087
185	4535	32037
186	4556	31994
187	4578	31950
188	4602	31928
189	4626	31901
190	4650	31874
191	4671	31823
192	4694	31791
193	4717	31759
194	4741	31730
195	4764	31696
196	4791	31688
197	4812	31645
198	4837	31626
199	4860	31595
200	4889	31596
201	4914	31581
202	4940	31567
203	4964	31540
204	4985	31494
205	5008	31462
206	5031	31430
207	5053	31391
208	5080	31383
209	5101	31335
210	5123	31300
211	5152	31304
212	5175	31269
213	5200	31250
214	5223	31216
215	5248	31198
216	5274	31183
217	5296	31144
218	5318	31107
219	5337	31053
220	5359	31018
221	5380	30976
222	5405	30954
223	5429	30930
224	5452	30897
225	5478	30883
226	5505	30872
227	5525	30828
228	5549	30801
229	5574	30783
230	5598	30756
231	5620	30719
232	5646	30705
233	5674	30698
234	5699	30681
235	5725	30666
236	5750	30646
237	5778	30641
238	5799	30598
239	5821	30563
240	5844	30532
241	5868	30505
242	5890	30468
243	5912	30436
244	5933	30392
245	5958	30373
246	5986	30369
247	6009	30338
248	6029	30295
249	6056	30280
250	6079	30250
251	6101	30218
252	6124	30188
253	6151	30176
254	6179	30168
255	6206	30157
256	6230	30134
257	6251	30094
258	6275	30069
259	6299	30044
260	6324	30022
261	6350	30007
262	6374	29983
263	6401	29968
264	6427	29955
265	6448	29915
266	6471	29884
267	6495	29858
268	6520	29837
269	6544	29814
270	6567	29785
271	6592	29764
272	6618	29745
273	6640	29712
274	6665	29690
275	6691	29675
276	6715	29649
277	6738	29620
278	6761	29590
279	6786	29567
280	6814	29561
281	6837	29530
282	6862	29509
283	6886	29485
284	6912	29470
285	6937	29445
286	6960	29420
287	6985	29395
288	7011	29380
289	7035	29356
290	7058	29325
291	7081	29297
292	7106	29275
293	7129	29246
294	7154	29225
295	7179	29203
296	7208	29197
297	7230	29163
298	7256	29148
299	7279	29119
300	7300	29080
301	7326	29064
302	7351	29040
303	7375	29018
304	7403	29005
305	7425	28975
306	7447	28940
307	7469	28909
308	7492	28878
309	7518	28860
310	7539	28825
311	7564	28801
312	7588	28777
313	7612	28751
314	7639	28740
315	7661	28705
316	7687	28690
317	7711	28662
318	7736	28643
319	7758	28610
320	7783	28588
321	7805	28557
322	7830	28535
323	7854	28510
324	7877	28481
325	7902	28458
326	7922	28418
327	7947	28396
328	7972	28376
329	7996	28352
330	8020	28325
331	8042	28293
332	8067	28271
333	8094	28259
334	8121	28244
335	8147	28226
336	8174	28210
337	8200	28191
338	8225	28170
339	8247	28139
340	8273	28119
341	8299	28103
342	8321	28068
343	8346	28049
344	8373	28033
345	8398	28011
346	8423	27989
347	8445	27957
348	8470	27935
349	8497	27918
350	8519	27887
351	8540	27854
352	8567	27838
353	8592	27816
354	8617	27793
355	8643	27775
356	8667	27749
357	8692	27729
358	8714	27697
359	8739	27673
